id,name,description,price,category,test_min,test_max
536,Кормушка пластиковая 5г B-0547,Кормушка пластиковая весом 5 г для фидерной ловли.,380,Кормушки,,
537,Прикормка Graphiteleader карась 2кг M-0548,"Прикормка Graphiteleader для ловли карась, фасовка 2 кг.",460,Прикормка,,
538,Летний сапоги Pontoon21 S CL-0549,"Летний сапоги Pontoon21, размер S. Комфорт и защита на рыбалке.",16190,Одежда,,
539,Сигнализатор Keitech A-0550,Рыболовный аксессуар: сигнализатор Keitech для удобства и эффективной ловли.,22090,Аксессуары,,
540,Зажим Gamakatsu T-0551,Рыболовный инструмент: зажим Gamakatsu для монтажа и обслуживания снастей.,1930,Инструменты,,
541,Летняя кресло Maximus TP-0552,Летняя кресло Maximus для комфортного отдыха на рыбалке.,13160,Палатки,,
542,Gps-навигатор Deeper E-0553,Электроника для рыбалки: GPS-навигатор Deeper с современными функциями.,45320,Электроника,,
543,Спиннинг Mepps Expert 390см 1-21г S-0555,"Спиннинг Mepps серии Expert длиной 390 см, тест 1-21 г. Подходит для активной ловли хищника.",10770,Спиннинги,1.0,21.0
544,Катушка Gamakatsu Sport 6000 R-0556,Катушка Gamakatsu Sport размера 6000 с плавным ходом и надёжным фрикционом.,15040,Катушки,,
545,Фидер Tsurinoya Feeder 300 180г F-0557,Фидерное удилище Tsurinoya длиной 300 см с тестом до 180 г для дальнего заброса.,11070,Фидеры,0.0,180.0
546,Карповое удилище Blue Fox Carp 330 120г C-0558,"Карповое удилище Blue Fox длиной 330 см, тест до 120 г.",21490,Карповые удилища,0.0,120.0
547,Зимняя удочка Mann's Ice 65см 2-10г I-0559,Зимняя удочка Mann's длиной 65 см для блеснения и ловли на мормышку.,1600,Зимние удочки,2.0,10.0
548,Воблер Rapala 6.5см зелёный L-0560,"Воблер Rapala длиной 6.5 см, цвет зелёный. Уловистая приманка для хищной рыбы.",2530,Воблеры,,
549,Силикон Kosadaka 7.0см красный L-0561,"Силикон Kosadaka длиной 7.0 см, цвет красный. Уловистая приманка для хищной рыбы.",2260,Приманки,,
550,Блесна Favorite 3.5см золото L-0562,"Блесна Favorite длиной 3.5 см, цвет золото. Уловистая приманка для хищной рыбы.",2770,Блесны,,
551,Балансир Fox 5.0см зелёный L-0563,"Балансир Fox длиной 5.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",2540,Балансиры,,
552,Мормышка Shimano 11.0см красный L-0564,"Мормышка Shimano длиной 11.0 см, цвет красный. Уловистая приманка для хищной рыбы.",660,Мормышки,,
553,Леска/шнур Browning 0.35мм 100м N-0565,"Рыболовная леска или шнур Browning, диаметр 0.35 мм, длина 100 м.",2210,Лески и шнуры,,
554,Крючки Owner №8 (15 шт) H-0566,"Крючки Owner номер 8, упаковка 15 шт. Острые и прочные.",630,Крючки,,
555,Поплавок Trabucco 3.0г P-0567,Поплавок Trabucco грузоподъёмностью 3.0 г для поплавочной ловли.,330,Поплавки,,
556,Кормушка пуля 25г B-0568,Кормушка пуля весом 25 г для фидерной ловли.,260,Кормушки,,
557,Прикормка Megabass фидер 1.5кг M-0569,"Прикормка Megabass для ловли фидер, фасовка 1.5 кг.",670,Прикормка,,
558,Демисезонный шапка Volzhanka 3XL CL-0570,"Демисезонный шапка Volzhanka, размер 3XL. Комфорт и защита на рыбалке.",5260,Одежда,,
559,Чехол Salmo A-0571,Рыболовный аксессуар: чехол Salmo для удобства и эффективной ловли.,27440,Аксессуары,,
560,Мультитул Mustad T-0572,Рыболовный инструмент: мультитул Mustad для монтажа и обслуживания снастей.,4600,Инструменты,,
561,Всесезонная кресло Shimano TP-0573,Всесезонная кресло Shimano для комфортного отдыха на рыбалке.,6690,Палатки,,
562,Зарядное устройство Lucky E-0574,Электроника для рыбалки: зарядное устройство Lucky с современными функциями.,58600,Электроника,,
563,Спиннинг Zemex Lake 420см 5-25г S-0576,"Спиннинг Zemex серии Lake длиной 420 см, тест 5-25 г. Подходит для активной ловли хищника.",13390,Спиннинги,5.0,25.0
564,Катушка Berkley Lake 2500 R-0577,Катушка Berkley Lake размера 2500 с плавным ходом и надёжным фрикционом.,7980,Катушки,,
565,Фидер Fox Feeder 420 120г F-0578,Фидерное удилище Fox длиной 420 см с тестом до 120 г для дальнего заброса.,7330,Фидеры,0.0,120.0
566,Карповое удилище Blue Fox Carp 330 130г C-0579,"Карповое удилище Blue Fox длиной 330 см, тест до 130 г.",20000,Карповые удилища,0.0,130.0
567,Зимняя удочка Berkley Ice 60см 4-10г I-0580,Зимняя удочка Berkley длиной 60 см для блеснения и ловли на мормышку.,1000,Зимние удочки,4.0,10.0
568,Воблер Ryobi 3.5см синий L-0581,"Воблер Ryobi длиной 3.5 см, цвет синий. Уловистая приманка для хищной рыбы.",2340,Воблеры,,
569,Силикон Mustad 4.5см натуральный L-0582,"Силикон Mustad длиной 4.5 см, цвет натуральный. Уловистая приманка для хищной рыбы.",2080,Приманки,,
570,Блесна Lucky John 11.0см красный L-0583,"Блесна Lucky John длиной 11.0 см, цвет красный. Уловистая приманка для хищной рыбы.",340,Блесны,,
571,Балансир Zemex 9.0см натуральный L-0584,"Балансир Zemex длиной 9.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",910,Балансиры,,
572,Мормышка Salmo 10.0см натуральный L-0585,"Мормышка Salmo длиной 10.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",1360,Мормышки,,
573,Леска/шнур Mustad 0.25мм 200м N-0586,"Рыболовная леска или шнур Mustad, диаметр 0.25 мм, длина 200 м.",2980,Лески и шнуры,,
574,Крючки Owner №2 (20 шт) H-0587,"Крючки Owner номер 2, упаковка 20 шт. Острые и прочные.",590,Крючки,,
575,Поплавок Berkley 4.0г P-0588,Поплавок Berkley грузоподъёмностью 4.0 г для поплавочной ловли.,370,Поплавки,,
576,Кормушка металлическая 30г B-0589,Кормушка металлическая весом 30 г для фидерной ловли.,180,Кормушки,,
577,Прикормка Fox плотва 1.5кг M-0590,"Прикормка Fox для ловли плотва, фасовка 1.5 кг.",370,Прикормка,,
578,Демисезонный костюм Pontoon21 3XL CL-0591,"Демисезонный костюм Pontoon21, размер 3XL. Комфорт и защита на рыбалке.",4080,Одежда,,
579,Ящик Jackall A-0592,Рыболовный аксессуар: ящик Jackall для удобства и эффективной ловли.,19880,Аксессуары,,
580,Ножницы Daiwa T-0593,Рыболовный инструмент: ножницы Daiwa для монтажа и обслуживания снастей.,5530,Инструменты,,
581,Летняя кресло Rapala TP-0594,Летняя кресло Rapala для комфортного отдыха на рыбалке.,7940,Палатки,,
582,Камера Deeper E-0595,Электроника для рыбалки: камера Deeper с современными функциями.,17900,Электроника,,
583,Спиннинг Graphiteleader River 240см 2-17г S-0597,"Спиннинг Graphiteleader серии River длиной 240 см, тест 2-17 г. Подходит для активной ловли хищника.",5090,Спиннинги,2.0,17.0
584,Катушка Berkley Light 3000 R-0598,Катушка Berkley Light размера 3000 с плавным ходом и надёжным фрикционом.,20910,Катушки,,
585,Фидер Zemex Feeder 330 150г F-0599,Фидерное удилище Zemex длиной 330 см с тестом до 150 г для дальнего заброса.,13950,Фидеры,0.0,150.0
586,Карповое удилище Preston Carp 396 130г C-0600,"Карповое удилище Preston длиной 396 см, тест до 130 г.",4810,Карповые удилища,0.0,130.0
587,Зимняя удочка Megabass Ice 55см 4-10г I-0601,Зимняя удочка Megabass длиной 55 см для блеснения и ловли на мормышку.,1010,Зимние удочки,4.0,10.0
588,Воблер Salmo 10.0см зелёный L-0602,"Воблер Salmo длиной 10.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",2690,Воблеры,,
589,Силикон Owner 9.0см золото L-0603,"Силикон Owner длиной 9.0 см, цвет золото. Уловистая приманка для хищной рыбы.",1300,Приманки,,
590,Блесна Megabass 7.0см синий L-0604,"Блесна Megabass длиной 7.0 см, цвет синий. Уловистая приманка для хищной рыбы.",1860,Блесны,,
591,Балансир Okuma 4.5см синий L-0605,"Балансир Okuma длиной 4.5 см, цвет синий. Уловистая приманка для хищной рыбы.",1840,Балансиры,,
592,Мормышка Keitech 12.0см зелёный L-0606,"Мормышка Keitech длиной 12.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",1490,Мормышки,,
593,Леска/шнур Daiwa 0.34мм 200м N-0607,"Рыболовная леска или шнур Daiwa, диаметр 0.34 мм, длина 200 м.",1440,Лески и шнуры,,
594,Крючки Owner №4 (20 шт) H-0608,"Крючки Owner номер 4, упаковка 20 шт. Острые и прочные.",530,Крючки,,
595,Поплавок Ryobi 3.0г P-0609,Поплавок Ryobi грузоподъёмностью 3.0 г для поплавочной ловли.,240,Поплавки,,
596,Кормушка методная 40г B-0610,Кормушка методная весом 40 г для фидерной ловли.,250,Кормушки,,
597,Прикормка Volzhanka фидер 2кг M-0611,"Прикормка Volzhanka для ловли фидер, фасовка 2 кг.",420,Прикормка,,
598,Демисезонный сапоги Lucky John S CL-0612,"Демисезонный сапоги Lucky John, размер S. Комфорт и защита на рыбалке.",10910,Одежда,,
599,Подсак Jackall A-0613,Рыболовный аксессуар: подсак Jackall для удобства и эффективной ловли.,24160,Аксессуары,,
600,Ножницы Kosadaka T-0614,Рыболовный инструмент: ножницы Kosadaka для монтажа и обслуживания снастей.,5060,Инструменты,,
601,Зимняя стол Gamakatsu TP-0615,Зимняя стол Gamakatsu для комфортного отдыха на рыбалке.,5090,Палатки,,
602,Gps-навигатор Lowrance E-0616,Электроника для рыбалки: GPS-навигатор Lowrance с современными функциями.,36690,Электроника,,
603,Спиннинг Tsurinoya Elite 240см 3-28г S-0618,"Спиннинг Tsurinoya серии Elite длиной 240 см, тест 3-28 г. Подходит для активной ловли хищника.",28930,Спиннинги,3.0,28.0
604,Катушка Trabucco Force 6000 R-0619,Катушка Trabucco Force размера 6000 с плавным ходом и надёжным фрикционом.,5570,Катушки,,
605,Фидер Megabass Feeder 300 50г F-0620,Фидерное удилище Megabass длиной 300 см с тестом до 50 г для дальнего заброса.,15860,Фидеры,0.0,50.0
606,Карповое удилище Browning Carp 396 180г C-0621,"Карповое удилище Browning длиной 396 см, тест до 180 г.",16480,Карповые удилища,0.0,180.0
607,Зимняя удочка Norfin Ice 60см 1-8г I-0622,Зимняя удочка Norfin длиной 60 см для блеснения и ловли на мормышку.,1790,Зимние удочки,1.0,8.0
608,Воблер Favorite 10.0см зелёный L-0623,"Воблер Favorite длиной 10.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",1350,Воблеры,,
609,Силикон Berkley 8.0см чёрный L-0624,"Силикон Berkley длиной 8.0 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1240,Приманки,,
610,Блесна Okuma 3.5см серебро L-0625,"Блесна Okuma длиной 3.5 см, цвет серебро. Уловистая приманка для хищной рыбы.",2580,Блесны,,
611,Балансир Gamakatsu 12.0см синий L-0626,"Балансир Gamakatsu длиной 12.0 см, цвет синий. Уловистая приманка для хищной рыбы.",540,Балансиры,,
612,Мормышка Megabass 7.0см золото L-0627,"Мормышка Megabass длиной 7.0 см, цвет золото. Уловистая приманка для хищной рыбы.",1950,Мормышки,,
613,Леска/шнур Favorite 0.12мм 100м N-0628,"Рыболовная леска или шнур Favorite, диаметр 0.12 мм, длина 100 м.",1570,Лески и шнуры,,
614,Крючки Korda №6 (10 шт) H-0629,"Крючки Korda номер 6, упаковка 10 шт. Острые и прочные.",270,Крючки,,
615,Поплавок Kosadaka 5.0г P-0630,Поплавок Kosadaka грузоподъёмностью 5.0 г для поплавочной ловли.,350,Поплавки,,
616,Кормушка пуля 18г B-0631,Кормушка пуля весом 18 г для фидерной ловли.,220,Кормушки,,
617,Прикормка Blue Fox лещ 2.5кг M-0632,"Прикормка Blue Fox для ловли лещ, фасовка 2.5 кг.",700,Прикормка,,
618,Демисезонный костюм Maver L CL-0633,"Демисезонный костюм Maver, размер L. Комфорт и защита на рыбалке.",7910,Одежда,,
619,Багорик Jackall A-0634,Рыболовный аксессуар: багорик Jackall для удобства и эффективной ловли.,15720,Аксессуары,,
620,Ножницы Mann's T-0635,Рыболовный инструмент: ножницы Mann's для монтажа и обслуживания снастей.,11450,Инструменты,,
621,Всесезонная тент Mann's TP-0636,Всесезонная тент Mann's для комфортного отдыха на рыбалке.,7680,Палатки,,
622,Зарядное устройство Garmin E-0637,Электроника для рыбалки: зарядное устройство Garmin с современными функциями.,19980,Электроника,,
623,Спиннинг Volzhanka Sport 390см 1-16г S-0639,"Спиннинг Volzhanka серии Sport длиной 390 см, тест 1-16 г. Подходит для активной ловли хищника.",23530,Спиннинги,1.0,16.0
624,Катушка Daiwa Expert 6000 R-0640,Катушка Daiwa Expert размера 6000 с плавным ходом и надёжным фрикционом.,12730,Катушки,,
625,Фидер Fox Feeder 330 60г F-0641,Фидерное удилище Fox длиной 330 см с тестом до 60 г для дальнего заброса.,4620,Фидеры,0.0,60.0
626,Карповое удилище Mikado Carp 360 120г C-0642,"Карповое удилище Mikado длиной 360 см, тест до 120 г.",15270,Карповые удилища,0.0,120.0
627,Зимняя удочка Zemex Ice 65см 1-8г I-0643,Зимняя удочка Zemex длиной 65 см для блеснения и ловли на мормышку.,2450,Зимние удочки,1.0,8.0
628,Воблер Zemex 5.0см серебро L-0644,"Воблер Zemex длиной 5.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",1310,Воблеры,,
629,Силикон Stinger 4.5см золото L-0645,"Силикон Stinger длиной 4.5 см, цвет золото. Уловистая приманка для хищной рыбы.",380,Приманки,,
630,Блесна Kosadaka 3.5см зелёный L-0646,"Блесна Kosadaka длиной 3.5 см, цвет зелёный. Уловистая приманка для хищной рыбы.",1250,Блесны,,
631,Балансир Gamakatsu 3.5см синий L-0647,"Балансир Gamakatsu длиной 3.5 см, цвет синий. Уловистая приманка для хищной рыбы.",1370,Балансиры,,
632,Мормышка Rapala 5.0см золото L-0648,"Мормышка Rapala длиной 5.0 см, цвет золото. Уловистая приманка для хищной рыбы.",2000,Мормышки,,
633,Леска/шнур Graphiteleader 0.11мм 100м N-0649,"Рыболовная леска или шнур Graphiteleader, диаметр 0.11 мм, длина 100 м.",2270,Лески и шнуры,,
634,Крючки Korda №2 (20 шт) H-0650,"Крючки Korda номер 2, упаковка 20 шт. Острые и прочные.",450,Крючки,,
635,Поплавок Lucky John 8.0г P-0651,Поплавок Lucky John грузоподъёмностью 8.0 г для поплавочной ловли.,380,Поплавки,,
636,Кормушка металлическая 12г B-0652,Кормушка металлическая весом 12 г для фидерной ловли.,410,Кормушки,,
637,Прикормка Owner карась 1кг M-0653,"Прикормка Owner для ловли карась, фасовка 1 кг.",340,Прикормка,,
638,Летний жилет Okuma XL CL-0654,"Летний жилет Okuma, размер XL. Комфорт и защита на рыбалке.",23270,Одежда,,
639,Багорик Lucky John A-0655,Рыболовный аксессуар: багорик Lucky John для удобства и эффективной ловли.,29320,Аксессуары,,
640,Ножницы Salmo T-0656,Рыболовный инструмент: ножницы Salmo для монтажа и обслуживания снастей.,5500,Инструменты,,
641,Зимняя палатка Zemex TP-0657,Зимняя палатка Zemex для комфортного отдыха на рыбалке.,6300,Палатки,,
642,Gps-навигатор Lucky E-0658,Электроника для рыбалки: GPS-навигатор Lucky с современными функциями.,26860,Электроника,,
643,Спиннинг Graphiteleader Prime 390см 7-37г S-0660,"Спиннинг Graphiteleader серии Prime длиной 390 см, тест 7-37 г. Подходит для активной ловли хищника.",16600,Спиннинги,7.0,37.0
644,Катушка Lucky John Sport 6000 R-0661,Катушка Lucky John Sport размера 6000 с плавным ходом и надёжным фрикционом.,23250,Катушки,,
645,Фидер Mikado Feeder 390 150г F-0662,Фидерное удилище Mikado длиной 390 см с тестом до 150 г для дальнего заброса.,7240,Фидеры,0.0,150.0
646,Карповое удилище Blue Fox Carp 390 150г C-0663,"Карповое удилище Blue Fox длиной 390 см, тест до 150 г.",17560,Карповые удилища,0.0,150.0
647,Зимняя удочка Blue Fox Ice 70см 1-8г I-0664,Зимняя удочка Blue Fox длиной 70 см для блеснения и ловли на мормышку.,1560,Зимние удочки,1.0,8.0
648,Воблер Gamakatsu 7.0см зелёный L-0665,"Воблер Gamakatsu длиной 7.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",900,Воблеры,,
649,Силикон Okuma 4.5см чёрный L-0666,"Силикон Okuma длиной 4.5 см, цвет чёрный. Уловистая приманка для хищной рыбы.",630,Приманки,,
650,Блесна Norfin 9.0см чёрный L-0667,"Блесна Norfin длиной 9.0 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1810,Блесны,,
651,Балансир Kosadaka 11.0см чёрный L-0668,"Балансир Kosadaka длиной 11.0 см, цвет чёрный. Уловистая приманка для хищной рыбы.",2680,Балансиры,,
652,Мормышка Mustad 4.5см красный L-0669,"Мормышка Mustad длиной 4.5 см, цвет красный. Уловистая приманка для хищной рыбы.",1730,Мормышки,,
653,Леска/шнур Pontoon21 0.31мм 100м N-0670,"Рыболовная леска или шнур Pontoon21, диаметр 0.31 мм, длина 100 м.",1500,Лески и шнуры,,
654,Крючки Kamasan №12 (15 шт) H-0671,"Крючки Kamasan номер 12, упаковка 15 шт. Острые и прочные.",200,Крючки,,
655,Поплавок Tsurinoya 2.0г P-0672,Поплавок Tsurinoya грузоподъёмностью 2.0 г для поплавочной ловли.,200,Поплавки,,
656,Кормушка пластиковая 25г B-0673,Кормушка пластиковая весом 25 г для фидерной ловли.,200,Кормушки,,
657,Прикормка Keitech фидер 2кг M-0674,"Прикормка Keitech для ловли фидер, фасовка 2 кг.",400,Прикормка,,
658,Зимний шапка Maver XL CL-0675,"Зимний шапка Maver, размер XL. Комфорт и защита на рыбалке.",19170,Одежда,,
659,Поводки Daiwa A-0676,Рыболовный аксессуар: поводки Daiwa для удобства и эффективной ловли.,17780,Аксессуары,,
660,Плоскогубцы Daiwa T-0677,Рыболовный инструмент: плоскогубцы Daiwa для монтажа и обслуживания снастей.,4700,Инструменты,,
661,Летняя кресло Owner TP-0678,Летняя кресло Owner для комфортного отдыха на рыбалке.,1900,Палатки,,
662,Камера Lowrance E-0679,Электроника для рыбалки: камера Lowrance с современными функциями.,39010,Электроника,,
663,Спиннинг Mepps Master 240см 10-20г S-0681,"Спиннинг Mepps серии Master длиной 240 см, тест 10-20 г. Подходит для активной ловли хищника.",5510,Спиннинги,10.0,20.0
664,Катушка Graphiteleader Power 3000 R-0682,Катушка Graphiteleader Power размера 3000 с плавным ходом и надёжным фрикционом.,15560,Катушки,,
665,Фидер Megabass Feeder 360 50г F-0683,Фидерное удилище Megabass длиной 360 см с тестом до 50 г для дальнего заброса.,9560,Фидеры,0.0,50.0
666,Карповое удилище Owner Carp 390 180г C-0684,"Карповое удилище Owner длиной 390 см, тест до 180 г.",7280,Карповые удилища,0.0,180.0
667,Зимняя удочка Rapala Ice 50см 1-10г I-0685,Зимняя удочка Rapala длиной 50 см для блеснения и ловли на мормышку.,790,Зимние удочки,1.0,10.0
668,Воблер Norfin 7.0см красный L-0686,"Воблер Norfin длиной 7.0 см, цвет красный. Уловистая приманка для хищной рыбы.",2020,Воблеры,,
669,Силикон Ryobi 12.0см красный L-0687,"Силикон Ryobi длиной 12.0 см, цвет красный. Уловистая приманка для хищной рыбы.",1980,Приманки,,
670,Блесна Maver 6.5см натуральный L-0688,"Блесна Maver длиной 6.5 см, цвет натуральный. Уловистая приманка для хищной рыбы.",2380,Блесны,,
671,Балансир Favorite 8.0см красный L-0689,"Балансир Favorite длиной 8.0 см, цвет красный. Уловистая приманка для хищной рыбы.",730,Балансиры,,
672,Мормышка Trabucco 12.0см красный L-0690,"Мормышка Trabucco длиной 12.0 см, цвет красный. Уловистая приманка для хищной рыбы.",2440,Мормышки,,
673,Леска/шнур Owner 0.09мм 200м N-0691,"Рыболовная леска или шнур Owner, диаметр 0.09 мм, длина 200 м.",2770,Лески и шнуры,,
674,Крючки Owner №4 (10 шт) H-0692,"Крючки Owner номер 4, упаковка 10 шт. Острые и прочные.",300,Крючки,,
675,Поплавок Mikado 1.5г P-0693,Поплавок Mikado грузоподъёмностью 1.5 г для поплавочной ловли.,250,Поплавки,,
676,Кормушка методная 15г B-0694,Кормушка методная весом 15 г для фидерной ловли.,200,Кормушки,,
677,Прикормка Shimano карась 2.5кг M-0695,"Прикормка Shimano для ловли карась, фасовка 2.5 кг.",460,Прикормка,,
678,Демисезонный перчатки Kosadaka 3XL CL-0696,"Демисезонный перчатки Kosadaka, размер 3XL. Комфорт и защита на рыбалке.",8330,Одежда,,
679,Зажим Tsurinoya A-0697,Рыболовный аксессуар: зажим Tsurinoya для удобства и эффективной ловли.,23460,Аксессуары,,
680,Экстрактор Salmo T-0698,Рыболовный инструмент: экстрактор Salmo для монтажа и обслуживания снастей.,12380,Инструменты,,
681,Зимняя стол Abu Garcia TP-0699,Зимняя стол Abu Garcia для комфортного отдыха на рыбалке.,9330,Палатки,,
682,Gps-навигатор Garmin E-0700,Электроника для рыбалки: GPS-навигатор Garmin с современными функциями.,39630,Электроника,,
683,Спиннинг Pontoon21 Hunter 360см 3-13г S-0702,"Спиннинг Pontoon21 серии Hunter длиной 360 см, тест 3-13 г. Подходит для активной ловли хищника.",15770,Спиннинги,3.0,13.0
684,Катушка Daiwa Force 2000 R-0703,Катушка Daiwa Force размера 2000 с плавным ходом и надёжным фрикционом.,22050,Катушки,,
685,Фидер Megabass Feeder 360 40г F-0704,Фидерное удилище Megabass длиной 360 см с тестом до 40 г для дальнего заброса.,10660,Фидеры,0.0,40.0
686,Карповое удилище Lucky John Carp 360 150г C-0705,"Карповое удилище Lucky John длиной 360 см, тест до 150 г.",23800,Карповые удилища,0.0,150.0
687,Зимняя удочка Mepps Ice 65см 1-8г I-0706,Зимняя удочка Mepps длиной 65 см для блеснения и ловли на мормышку.,2470,Зимние удочки,1.0,8.0
688,Воблер Owner 8.0см синий L-0707,"Воблер Owner длиной 8.0 см, цвет синий. Уловистая приманка для хищной рыбы.",1640,Воблеры,,
689,Силикон Maximus 4.5см серебро L-0708,"Силикон Maximus длиной 4.5 см, цвет серебро. Уловистая приманка для хищной рыбы.",750,Приманки,,
690,Блесна Graphiteleader 11.0см синий L-0709,"Блесна Graphiteleader длиной 11.0 см, цвет синий. Уловистая приманка для хищной рыбы.",1710,Блесны,,
691,Балансир Keitech 5.0см синий L-0710,"Балансир Keitech длиной 5.0 см, цвет синий. Уловистая приманка для хищной рыбы.",700,Балансиры,,
692,Мормышка Zemex 7.0см синий L-0711,"Мормышка Zemex длиной 7.0 см, цвет синий. Уловистая приманка для хищной рыбы.",990,Мормышки,,
693,Леска/шнур Zemex 0.29мм 100м N-0712,"Рыболовная леска или шнур Zemex, диаметр 0.29 мм, длина 100 м.",1040,Лески и шнуры,,
694,Крючки Korda №1/0 (20 шт) H-0713,"Крючки Korda номер 1/0, упаковка 20 шт. Острые и прочные.",540,Крючки,,
695,Поплавок Jackall 4.0г P-0714,Поплавок Jackall грузоподъёмностью 4.0 г для поплавочной ловли.,280,Поплавки,,
696,Кормушка пуля 10г B-0715,Кормушка пуля весом 10 г для фидерной ловли.,170,Кормушки,,
697,Прикормка Okuma карась 2кг M-0716,"Прикормка Okuma для ловли карась, фасовка 2 кг.",560,Прикормка,,
698,Демисезонный брюки Rapala S CL-0717,"Демисезонный брюки Rapala, размер S. Комфорт и защита на рыбалке.",10960,Одежда,,
699,Багорик Megabass A-0718,Рыболовный аксессуар: багорик Megabass для удобства и эффективной ловли.,2710,Аксессуары,,
700,Щипцы Rapala T-0719,Рыболовный инструмент: щипцы Rapala для монтажа и обслуживания снастей.,4920,Инструменты,,
701,Всесезонная палатка Salmo TP-0720,Всесезонная палатка Salmo для комфортного отдыха на рыбалке.,11530,Палатки,,
702,Спиннинг Tsurinoya Hunter 390см 7-37г S-0722,"Спиннинг Tsurinoya серии Hunter длиной 390 см, тест 7-37 г. Подходит для активной ловли хищника.",28450,Спиннинги,7.0,37.0
703,Катушка Abu Garcia Lake 6000 R-0723,Катушка Abu Garcia Lake размера 6000 с плавным ходом и надёжным фрикционом.,20530,Катушки,,
704,Фидер Volzhanka Feeder 360 150г F-0724,Фидерное удилище Volzhanka длиной 360 см с тестом до 150 г для дальнего заброса.,11710,Фидеры,0.0,150.0
705,Карповое удилище Zemex Carp 330 150г C-0725,"Карповое удилище Zemex длиной 330 см, тест до 150 г.",7890,Карповые удилища,0.0,150.0
706,Зимняя удочка Mustad Ice 70см 1-10г I-0726,Зимняя удочка Mustad длиной 70 см для блеснения и ловли на мормышку.,2010,Зимние удочки,1.0,10.0
707,Воблер Stinger 3.5см синий L-0727,"Воблер Stinger длиной 3.5 см, цвет синий. Уловистая приманка для хищной рыбы.",2070,Воблеры,,
708,Силикон Jackall 11.0см серебро L-0728,"Силикон Jackall длиной 11.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",2780,Приманки,,
709,Блесна Maximus 8.0см зелёный L-0729,"Блесна Maximus длиной 8.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",1440,Блесны,,
710,Балансир Berkley 9.0см натуральный L-0730,"Балансир Berkley длиной 9.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",1660,Балансиры,,
711,Мормышка Rapala 8.0см чёрный L-0731,"Мормышка Rapala длиной 8.0 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1630,Мормышки,,
712,Леска/шнур Lucky John 0.23мм 200м N-0732,"Рыболовная леска или шнур Lucky John, диаметр 0.23 мм, длина 200 м.",1480,Лески и шнуры,,
713,Крючки Mustad №8 (15 шт) H-0733,"Крючки Mustad номер 8, упаковка 15 шт. Острые и прочные.",190,Крючки,,
714,Поплавок Zemex 4.0г P-0734,Поплавок Zemex грузоподъёмностью 4.0 г для поплавочной ловли.,280,Поплавки,,
715,Кормушка пластиковая 20г B-0735,Кормушка пластиковая весом 20 г для фидерной ловли.,180,Кормушки,,
716,Прикормка Owner фидер 2.5кг M-0736,"Прикормка Owner для ловли фидер, фасовка 2.5 кг.",620,Прикормка,,
717,Демисезонный сапоги Kosadaka 3XL CL-0737,"Демисезонный сапоги Kosadaka, размер 3XL. Комфорт и защита на рыбалке.",23250,Одежда,,
718,Садок Graphiteleader A-0738,Рыболовный аксессуар: садок Graphiteleader для удобства и эффективной ловли.,28000,Аксессуары,,
719,Щипцы Tsurinoya T-0739,Рыболовный инструмент: щипцы Tsurinoya для монтажа и обслуживания снастей.,520,Инструменты,,
720,Зимняя кресло Mann's TP-0740,Зимняя кресло Mann's для комфортного отдыха на рыбалке.,5310,Палатки,,
721,Спиннинг Mustad Trophy 270см 2-17г S-0742,"Спиннинг Mustad серии Trophy длиной 270 см, тест 2-17 г. Подходит для активной ловли хищника.",7580,Спиннинги,2.0,17.0
722,Катушка Salmo Prime 6000 R-0743,Катушка Salmo Prime размера 6000 с плавным ходом и надёжным фрикционом.,27620,Катушки,,
723,Фидер Lucky John Feeder 420 180г F-0744,Фидерное удилище Lucky John длиной 420 см с тестом до 180 г для дальнего заброса.,17180,Фидеры,0.0,180.0
724,Карповое удилище Graphiteleader Carp 330 130г C-0745,"Карповое удилище Graphiteleader длиной 330 см, тест до 130 г.",8790,Карповые удилища,0.0,130.0
725,Зимняя удочка Berkley Ice 50см 1-5г I-0746,Зимняя удочка Berkley длиной 50 см для блеснения и ловли на мормышку.,2390,Зимние удочки,1.0,5.0
726,Воблер Maximus 10.0см чёрный L-0747,"Воблер Maximus длиной 10.0 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1960,Воблеры,,
727,Силикон Mann's 6.5см красный L-0748,"Силикон Mann's длиной 6.5 см, цвет красный. Уловистая приманка для хищной рыбы.",2780,Приманки,,
728,Блесна Trabucco 10.0см синий L-0749,"Блесна Trabucco длиной 10.0 см, цвет синий. Уловистая приманка для хищной рыбы.",2470,Блесны,,
